City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Victoria,HK,2021-09-15 02:08:24,22.2855,114.1577,89.96,71,46,1.01,scattered clouds
185,Kahramanmaras,TR,2021-09-15 02:12:33,38.0,37.0,57.83,87,0,4.27,clear sky
186,Olinda,BR,2021-09-15 02:12:34,-8.0089,-34.8553,76.73,73,75,12.66,broken clouds
187,Chany,RU,2021-09-15 02:12:34,55.3121,76.7647,52.3,79,100,10.29,overcast clouds
188,Sindor,RU,2021-09-15 02:12:34,62.8629,51.8905,36.21,98,100,5.59,overcast clouds
189,Mahebourg,MU,2021-09-15 02:12:35,-20.4081,57.7,68.25,81,8,11.25,clear sky
190,Oparino,RU,2021-09-15 02:12:35,59.8518,48.2783,40.33,97,100,3.87,overcast clouds
191,Nchelenge,ZM,2021-09-15 02:12:35,-9.3451,28.734,78.42,42,97,6.33,overcast clouds
192,Amazar,RU,2021-09-15 02:12:35,53.858,120.875,57.58,69,100,3.58,overcast clouds
193,Hervey Bay,AU,2021-09-15 02:12:36,-25.2986,152.8535,71.71,40,0,8.77,clear sky
194,Ugoofaaru,MV,2021-09-15 02:12:36,5.6667,73.0,83.55,73,100,15.75,overcast clouds
195,Hami,CN,2021-09-15 02:12:36,42.8,93.45,76.46,20,8,8.19,clear sky
196,Los Llanos De Aridane,ES,2021-09-15 02:12:37,28.6585,-17.9182,69.55,78,0,5.75,clear sky
197,Trincomalee,LK,2021-09-15 02:12:37,8.5711,81.2335,83.01,71,100,17.52,overcast clouds
198,Orodara,BF,2021-09-15 02:12:37,10.9492,-4.9342,69.04,92,87,2.68,overcast clouds
199,Bahia Blanca,AR,2021-09-15 02:10:15,-38.7196,-62.2724,48.13,48,0,8.3,clear sky
200,Abaza,RU,2021-09-15 02:12:38,52.655,90.0928,51.01,51,100,5.75,overcast clouds
201,Aguimes,ES,2021-09-15 02:12:38,27.9054,-15.4461,70.43,75,20,11.5,few clouds
202,Christchurch,NZ,2021-09-15 02:12:10,-43.5333,172.6333,52.32,62,40,7.0,scattered clouds
203,Sabha,LY,2021-09-15 02:12:38,27.0377,14.4283,75.09,37,0,13.47,clear sky
204,Urucui,BR,2021-09-15 02:12:39,-7.2294,-44.5561,84.25,33,40,5.53,scattered clouds
205,Ossora,RU,2021-09-15 02:12:39,59.2353,163.0719,52.93,49,5,13.69,clear sky
206,Mizan Teferi,ET,2021-09-15 02:12:39,6.9833,35.5833,61.75,83,68,3.24,broken clouds
207,Aras,ES,2021-09-15 02:12:39,42.5617,-2.356,62.71,100,0,5.75,clear sky
208,Sabang,ID,2021-09-15 02:12:40,5.8933,95.3214,82.15,72,100,8.05,overcast clouds
209,Correntina,BR,2021-09-15 02:12:40,-13.3433,-44.6367,77.7,27,37,7.23,scattered clouds
210,Betare Oya,CM,2021-09-15 02:12:40,5.6,14.0833,65.57,98,100,4.25,moderate rain
211,Pemangkat,ID,2021-09-15 02:12:41,1.1667,108.9667,77.41,80,100,5.5,overcast clouds
212,Coahuayana,MX,2021-09-15 02:12:41,18.7333,-103.6833,80.08,94,100,2.68,overcast clouds
213,Comodoro Rivadavia,AR,2021-09-15 02:09:02,-45.8667,-67.5,53.46,43,0,25.32,clear sky
214,Normandin,CA,2021-09-15 02:12:41,48.8333,-72.5321,52.11,72,100,11.83,overcast clouds
215,Lorengau,PG,2021-09-15 02:12:41,-2.0226,147.2712,83.25,75,96,7.99,overcast clouds
216,Mimarsinan,TR,2021-09-15 02:12:42,41.0032,28.5377,71.22,77,100,11.05,overcast clouds
217,Faanui,PF,2021-09-15 02:12:42,-16.4833,-151.75,79.29,71,1,17.69,clear sky
218,Ninotsminda,GE,2021-09-15 02:12:42,41.2646,43.5916,52.25,87,0,5.21,clear sky
219,Bara,NG,2021-09-15 02:12:43,10.3744,10.7288,72.81,95,89,5.35,overcast clouds
220,Sunderland,GB,2021-09-15 02:12:43,54.9047,-1.3822,56.17,95,100,5.3,overcast clouds
221,Vanimo,PG,2021-09-15 02:12:43,-2.6741,141.3028,86.22,61,19,4.76,few clouds
222,Ishinomaki,JP,2021-09-15 02:12:43,38.4167,141.3,73.49,72,30,8.81,scattered clouds
223,La Ronge,CA,2021-09-15 02:12:44,55.1001,-105.2842,54.99,58,100,6.33,overcast clouds
224,Ayagoz,KZ,2021-09-15 02:12:44,47.9714,80.4392,53.98,22,67,6.89,broken clouds
225,Guane,CU,2021-09-15 02:12:44,22.2025,-84.0875,77.99,83,100,2.37,overcast clouds
226,Qaanaaq,GL,2021-09-15 02:12:45,77.484,-69.3632,16.9,90,80,6.08,broken clouds
227,Katsina,NG,2021-09-15 02:12:45,12.9894,7.6006,75.06,78,19,5.3,light rain
228,Lagoa,PT,2021-09-15 02:12:45,39.05,-27.9833,68.02,76,72,5.48,broken clouds
229,Palmer,US,2021-09-15 02:12:45,42.1584,-72.3287,67.46,77,42,4.23,scattered clouds
230,Ahipara,NZ,2021-09-15 02:12:46,-35.1667,173.1667,64.42,78,100,10.2,overcast clouds
231,Sur,OM,2021-09-15 02:12:46,22.5667,59.5289,85.57,46,100,3.94,overcast clouds
232,Nuuk,GL,2021-09-15 02:12:46,64.1835,-51.7216,34.41,64,0,6.91,clear sky
233,Bilibino,RU,2021-09-15 02:12:47,68.0546,166.4372,39.0,97,100,2.28,overcast clouds
234,Verkhoyansk,RU,2021-09-15 02:12:47,67.5447,133.385,56.84,58,16,2.21,few clouds
235,Tukrah,LY,2021-09-15 02:12:47,32.5341,20.5791,76.28,65,4,8.9,clear sky
236,Vila Velha,BR,2021-09-15 02:12:47,-20.3297,-40.2925,75.15,83,0,13.8,clear sky
237,Shiraz,IR,2021-09-15 02:12:48,29.6036,52.5388,69.78,21,0,4.72,clear sky
238,Khani,GE,2021-09-15 02:12:48,41.9563,42.9566,58.57,88,4,3.49,clear sky
239,Tautira,PF,2021-09-15 02:12:48,-17.7333,-149.15,84.22,71,15,17.27,few clouds
240,Nemuro,JP,2021-09-15 02:12:49,43.3236,145.575,56.55,63,0,1.07,clear sky
241,Mananjary,MG,2021-09-15 02:12:49,-21.2167,48.3333,66.29,91,17,6.76,few clouds
242,Coihaique,CL,2021-09-15 02:12:49,-45.5752,-72.0662,44.55,81,90,4.61,light rain
243,Mitsamiouli,KM,2021-09-15 02:12:49,-11.3847,43.2844,76.55,76,89,3.13,overcast clouds
244,Balkanabat,TM,2021-09-15 02:12:50,39.5108,54.3671,75.2,62,0,1.52,clear sky
245,Vallenar,CL,2021-09-15 02:12:50,-28.5708,-70.7581,58.84,51,0,3.15,clear sky
246,Saint-Georges,GD,2021-09-15 02:12:50,12.0564,-61.7485,81.68,81,9,11.36,clear sky
247,Linguere,SN,2021-09-15 02:12:50,15.3953,-15.1193,81.81,81,5,10.96,clear sky
248,Cockburn Town,TC,2021-09-15 02:12:51,21.4612,-71.1419,82.67,78,64,12.06,broken clouds
249,Yulara,AU,2021-09-15 02:12:51,-25.2406,130.9889,84.7,16,2,5.37,clear sky
250,Winslow,US,2021-09-15 02:12:51,35.0242,-110.6974,83.97,20,20,1.01,few clouds
251,Ponta Do Sol,PT,2021-09-15 02:12:52,32.6667,-17.1,74.03,73,31,7.7,scattered clouds
252,Hofn,IS,2021-09-15 02:12:52,64.2539,-15.2082,51.31,88,100,16.15,overcast clouds
253,Lata,PT,2021-09-15 02:12:52,40.1629,-8.3327,64.08,91,99,0.63,light rain
254,Omsukchan,RU,2021-09-15 02:12:53,62.5333,155.8,52.32,55,36,1.07,scattered clouds
255,Jesus Maria,AR,2021-09-15 02:12:53,-30.9815,-64.0942,53.11,26,0,3.4,clear sky
256,Presov,SK,2021-09-15 02:12:53,49.1667,21.25,56.55,88,18,2.57,few clouds
257,Karaman,TR,2021-09-15 02:12:53,37.0833,33.25,53.98,87,15,4.94,few clouds
258,Bartica,GY,2021-09-15 02:12:54,6.4,-58.6167,73.72,98,39,2.66,scattered clouds
259,Bambanglipuro,ID,2021-09-15 02:12:54,-7.95,110.2833,81.34,72,100,4.59,overcast clouds
